subj_idx,status,runid,condition,cue,coherence,image_index,stim,rt,response,stimulus_side
2,inside,1,3,valid,low,61,1,0.538376899773539,1,0
2,inside,1,4,invalid,low,41,0,0.7701461764515899,1,1
2,inside,1,3,valid,low,69,1,1.00889596160937,0,1
2,inside,1,3,valid,low,47,0,0.594483144834157,1,1
2,inside,1,2,invalid,high,4,0,0.783311381371391,1,0
2,inside,1,1,valid,high,21,1,0.575706896319616,1,1
2,inside,1,1,valid,high,27,1,0.6326752474784599,1,0
2,inside,1,2,invalid,high,10,0,0.6475219967451271,1,1
2,inside,1,1,valid,high,23,1,0.424355751567418,1,0
2,inside,1,3,valid,low,55,1,0.612160209397985,1,1
2,inside,1,2,invalid,high,29,1,0.450282406057795,1,0
2,inside,1,1,valid,high,5,0,0.7394066519144641,0,0
2,inside,1,4,invalid,low,57,1,0.503160645521916,1,0
2,inside,1,3,valid,low,59,1,0.5019617124157779,1,0
2,inside,1,3,valid,low,60,1,0.600672167682319,1,1
2,inside,1,4,invalid,low,61,1,0.5810088562429879,1,0
2,inside,1,1,valid,high,9,0,0.545954746726238,0,0
2,inside,1,3,valid,low,51,0,1.4916145782476598,1,1
2,inside,1,2,invalid,high,24,1,0.539415536842171,1,0
2,inside,1,3,valid,low,54,0,0.639199246295902,1,0
2,inside,1,2,invalid,high,26,1,0.7084467715120579,1,1
2,inside,1,2,invalid,high,28,1,0.480354422121081,1,0
2,inside,1,3,valid,low,44,0,0.682638740392008,1,1
2,inside,1,2,invalid,high,36,1,0.4818577814462511,1,0
2,inside,1,4,invalid,low,59,1,0.568507957652173,1,1
2,inside,1,2,invalid,high,5,0,0.9319189681716579,1,1
2,inside,1,4,invalid,low,54,0,0.625144851103187,1,1
2,inside,1,2,invalid,high,7,0,0.5363495697300779,1,1
2,inside,1,4,invalid,low,47,0,0.6565754350995121,1,0
2,inside,1,4,invalid,low,40,0,0.693289764551537,1,0
2,inside,2,2,invalid,high,4,0,0.7018236054277621,1,1
2,inside,2,4,invalid,low,53,0,0.499149720763398,1,1
2,inside,2,2,invalid,high,27,1,0.449779764434425,1,0
2,inside,2,3,valid,low,37,0,0.569678279271557,1,1
2,inside,2,3,valid,low,59,1,0.611009930747059,1,0
2,inside,2,3,valid,low,49,0,0.6752350778290289,0,1
2,inside,2,4,invalid,low,57,1,0.698539611469187,1,1
2,inside,2,2,invalid,high,34,1,0.8088664846068241,1,0
2,inside,2,3,valid,low,58,1,0.609994245212874,1,0
2,inside,2,1,valid,high,5,0,0.6816194300533879,1,1
2,inside,2,1,valid,high,25,1,0.7397450934593051,1,0
2,inside,2,1,valid,high,35,1,1.38772961603536,1,0
2,inside,2,1,valid,high,15,0,0.6725295384696889,1,0
2,inside,2,1,valid,high,30,1,0.6849250619061421,1,1
2,inside,2,2,invalid,high,6,0,0.7905816347915791,1,0
2,inside,2,1,valid,high,7,0,0.6268341850920931,1,0
2,inside,2,1,valid,high,32,1,1.08695948730565,1,1
2,inside,2,2,invalid,high,22,1,2.02375198948607,1,1
2,inside,2,4,invalid,low,52,0,0.6144259157140369,1,1
2,inside,2,4,invalid,low,69,1,0.9748011631922959,0,1
2,inside,2,2,invalid,high,2,0,0.687993795624834,1,1
2,inside,2,4,invalid,low,71,1,0.7096519198235001,1,0
2,inside,2,2,invalid,high,36,1,0.6298960344918211,1,0
2,inside,2,2,invalid,high,11,0,0.5813921556230071,1,1
2,inside,2,3,valid,low,67,1,0.509374451039776,1,0
2,inside,2,1,valid,high,14,0,0.5924762654910861,1,0
2,inside,2,2,invalid,high,19,1,0.6846500881028988,1,1
2,inside,2,4,invalid,low,67,1,0.622069220479716,1,0
2,inside,2,2,invalid,high,10,0,0.709348093348126,1,0
2,inside,2,1,valid,high,36,1,0.48730252249401895,1,0
2,inside,2,2,invalid,high,26,1,0.652349257125707,1,1
2,inside,2,1,valid,high,4,0,0.6316362773161469,1,0
2,inside,2,2,invalid,high,23,1,0.48490309091857897,1,0
2,inside,2,4,invalid,low,55,1,0.57403200710678,1,1
2,inside,2,3,valid,low,62,1,0.5260398432881169,1,1
2,inside,2,3,valid,low,64,1,0.517393282813146,1,0
2,inside,2,2,invalid,high,21,1,0.5809376980851079,1,1
2,inside,2,4,invalid,low,45,0,0.81179200663837,0,0
2,inside,2,2,invalid,high,31,1,0.47565241770712396,1,0
2,inside,2,4,invalid,low,37,0,0.7380336637922941,1,0
2,inside,2,4,invalid,low,68,1,0.458309502818565,1,0
2,inside,2,2,invalid,high,14,0,0.7458792469396941,1,0
2,inside,2,2,invalid,high,15,0,0.49080742230262303,1,0
2,inside,2,4,invalid,low,49,0,0.656642253970631,1,0
2,inside,2,1,valid,high,23,1,0.7386893372088249,1,1
2,inside,2,1,valid,high,33,1,0.633820841455645,1,1
2,inside,2,1,valid,high,22,1,0.672555925431425,1,1
2,inside,2,2,invalid,high,16,0,0.555383308746286,1,1
2,inside,2,1,valid,high,21,1,0.46433299965451597,1,0
2,inside,2,3,valid,low,40,0,0.632295180098708,1,0
2,inside,2,1,valid,high,6,0,0.8260060439752119,1,0
2,inside,2,3,valid,low,41,0,0.4224991298010539,0,1
2,inside,2,3,valid,low,55,1,0.535658744138573,1,1
2,inside,2,3,valid,low,43,0,0.5703624248492359,0,0
