,subj_idx,status,runid,condition,cue,coherence,image_index,stim,response,rt,accuracy,stimulus_side,Sn_vals,med_dists,Outliers
248,1,outside,2,4,invalid,low,52,0,0,0.33743457086529804,1,1,0.090001,0.1005390572026959,False
249,1,outside,2,2,invalid,high,7,0,0,0.43622298712034496,1,1,0.090001,0.07395224192623501,False
250,1,outside,2,1,valid,high,22,1,1,0.43357756395562297,1,0,0.090001,0.07249556590795692,False
251,1,outside,2,4,invalid,low,65,1,1,0.438585685762519,1,1,0.090001,0.073717728282645,False
252,1,outside,2,4,invalid,low,72,1,1,0.543818232707054,1,0,0.090001,0.11945076721167502,False
253,1,outside,2,4,invalid,low,54,0,1,0.486238193274403,0,0,0.090001,0.09133315835060796,False
254,1,outside,2,1,valid,high,31,1,0,0.34439274025498906,0,1,0.090001,0.09358088781300489,False
255,1,outside,2,1,valid,high,4,0,0,0.268190420270912,1,1,0.090001,0.16845024101712597,False
256,1,outside,2,3,valid,low,47,0,0,0.41428479695423404,1,1,0.090001,0.06851233696215708,False
257,1,outside,2,2,invalid,high,8,0,0,0.397695461415424,1,0,0.090001,0.06739393072348304,False
258,1,outside,2,1,valid,high,7,0,0,0.353231847839197,1,0,0.090001,0.08744282577754403,False
259,1,outside,2,2,invalid,high,14,0,0,0.6425653843525649,1,1,0.090001,0.2070402756617109,False
260,1,outside,2,3,valid,low,72,1,1,0.6842178943497861,1,0,0.090001,0.2483144504494711,False
261,1,outside,2,4,invalid,low,38,0,0,0.555293993542364,1,0,0.090001,0.12673012184313898,False
262,1,outside,2,3,valid,low,44,0,0,0.521558441816524,1,0,0.090001,0.10618905440423998,False
263,1,outside,2,2,invalid,high,34,1,1,0.364253974137682,1,0,0.090001,0.08122341379748904,False
264,1,outside,2,1,valid,high,3,0,0,0.28687666519545,1,1,0.090001,0.14976399609258795,False
265,1,outside,2,3,valid,low,41,0,0,0.388611846221465,1,1,0.090001,0.06945332479153898,False
266,1,outside,2,3,valid,low,60,1,1,0.44499436113255797,1,0,0.090001,0.07384137034387095,False
267,1,outside,2,2,invalid,high,3,0,0,0.3894009167979679,1,0,0.090001,0.06999103603266188,False
268,1,outside,2,4,invalid,low,59,1,1,0.43760334624857894,1,0,0.090001,0.07334937211089693,False
269,1,outside,2,1,valid,high,24,1,1,0.344491027946788,1,0,0.090001,0.09348260012120596,False
270,1,outside,2,3,valid,low,52,0,0,0.43552510869085403,1,0,0.090001,0.07325436349674408,False
271,1,outside,2,2,invalid,high,24,1,1,0.342943107534666,1,0,0.090001,0.09503052053332794,False
272,1,outside,2,1,valid,high,9,0,0,0.38716441033102506,1,0,0.090001,0.06933268813372806,False
273,1,outside,2,3,valid,low,65,1,1,0.46244483228292704,1,0,0.090001,0.083267029487616,False
274,1,outside,2,1,valid,high,18,0,0,0.335106603555687,1,0,0.090001,0.10286702451230695,False
275,1,outside,2,1,valid,high,26,1,1,0.268191915511125,1,1,0.090001,0.168448745776913,False
276,1,outside,2,3,valid,low,66,1,1,0.40164204084067,1,1,0.090001,0.06659370183297203,False
277,1,outside,2,4,invalid,low,51,0,0,0.346516588815575,1,0,0.090001,0.09206909694694398,False
278,1,outside,2,4,invalid,low,63,1,1,0.41820837557497703,1,1,0.090001,0.06802981769942595,False
279,1,outside,2,4,invalid,low,45,0,0,0.4328137581869671,1,1,0.090001,0.07173176013930105,False
280,1,outside,2,1,valid,high,5,0,0,0.41014480926969604,1,1,0.090001,0.06641302425123308,False
281,1,outside,2,3,valid,low,49,0,0,0.488449673772266,1,1,0.090001,0.09063211031389007,False
